A resource limited artificial immune system for data analysis,"Timmis, J; Neal, M",2001
Clustering incomplete data using kernel-based fuzzy C-means algorithm,"Zhang, DQ; Chen, SC",2003
"Using regression trees to identify the habitat preference of the sea cucumber (Holothuria leucospilota) on Rarotonga, Cook Islands","Dzeroski, S; Drumm, D",2003
On optimal pairwise linear classifiers for normal distributions: The two-dimensional case,"Rueda, L; Oommen, BJ",2002
Feature selection for financial credit-risk evaluation decisions,"Piramuthu, S",1999
Unsupervised learning of correlated multivariate Gaussian mixture models using MML,"Agusta, Y; Dowe, DL",2003
Ultrasound backscatter signal characterization and classification using autoregressive modeling and machine learning algorithms,"Farnoud, NR; Kolios, M; Krishnan, S",2003
Support vector-based online detection of abrupt changes,"Desobry, F; Davy, M",2003
Damage identification with linear discriminant operators,"Farrar, CR; Nix, DA; Duffey, TA; Cornwell, PJ; Pardoen, GC",1999
A new approach that selects a single hyperplane from the optimal pairwise linear classifier,"Rueda, L",2003
A resource limited artificial immune system for data analysis,"Timmis, J; Neal, M",2001
